                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2882,                  1.471,                 1.3093,                0.78818,                0.47186,                0.49176,                0.33182,                 1.2545,                 1.0119,                 1.4402,              0.0033242,              0.0033242,              0.0033242
                      2,                 1.1849,                0.96616,                 1.2397,                0.61833,                0.48661,                0.52428,                0.35128,                 1.2737,                  1.013,                 1.4623,              0.0065696,              0.0065696,              0.0065696
                      3,                  1.217,                  1.007,                 1.2626,                 0.6605,                0.39621,                0.47248,                0.29577,                 1.4724,                 1.3673,                 1.7748,              0.0097271,              0.0097271,              0.0097271
                      4,                 1.2783,                 1.0773,                 1.3026,                0.60898,                0.43807,                0.48536,                0.29998,                 1.4163,                 1.1924,                 1.6422,               0.009604,               0.009604,               0.009604
                      5,                 1.2415,                  1.018,                 1.2931,                0.61982,                0.48972,                0.55257,                0.35319,                 1.3306,                  1.066,                 1.5675,               0.009472,               0.009472,               0.009472
                      6,                 1.2169,                 0.9603,                 1.2707,                0.63267,                0.53908,                0.55984,                0.36371,                 1.3178,                0.99672,                  1.538,                0.00934,                0.00934,                0.00934
                      7,                 1.1804,                0.91853,                 1.2496,                  0.619,                0.53315,                0.56561,                0.37653,                 1.2681,                0.96206,                 1.4655,               0.009208,               0.009208,               0.009208
                      8,                 1.1469,                0.87652,                 1.2331,                0.58043,                0.55581,                0.58693,                0.39159,                  1.236,                0.91263,                 1.4392,               0.009076,               0.009076,               0.009076
                      9,                 1.1283,                0.85318,                 1.2264,                0.70507,                0.53889,                0.58311,                0.39088,                 1.2358,                0.89648,                 1.4494,               0.008944,               0.008944,               0.008944
                     10,                 1.1111,                0.82199,                  1.208,                0.68379,                0.53801,                  0.604,                0.41746,                 1.2167,                0.86948,                 1.4275,               0.008812,               0.008812,               0.008812
                     11,                 1.0939,                0.79485,                 1.2017,                0.68593,                0.54501,                0.60408,                0.41443,                 1.2025,                0.83905,                 1.4138,                0.00868,                0.00868,                0.00868
                     12,                  1.063,                0.76443,                 1.1889,                0.61472,                0.58549,                0.60041,                0.40917,                  1.178,                0.81116,                 1.3988,               0.008548,               0.008548,               0.008548
                     13,                  1.046,                0.74807,                 1.1709,                0.67604,                0.59264,                0.62829,                0.43104,                 1.1619,                0.81702,                 1.3827,               0.008416,               0.008416,               0.008416
                     14,                 1.0363,                0.73404,                 1.1694,                0.81868,                0.57396,                0.61936,                0.42703,                 1.1642,                 0.7937,                  1.382,               0.008284,               0.008284,               0.008284
                     15,                 1.0173,                 0.7037,                 1.1476,                0.64593,                0.57747,                0.63742,                0.44264,                 1.1772,                0.79586,                 1.3788,               0.008152,               0.008152,               0.008152
                     16,                 1.0109,                0.69517,                 1.1503,                0.74998,                 0.6101,                0.62669,                0.43549,                 1.1483,                0.78462,                 1.3672,                0.00802,                0.00802,                0.00802
                     17,                0.98753,                0.68379,                 1.1364,                   0.86,                0.56179,                0.63274,                0.43048,                 1.1691,                0.78482,                 1.3701,               0.007888,               0.007888,               0.007888
                     18,                0.97329,                0.67108,                 1.1313,                0.83389,                0.60891,                0.66727,                0.44987,                 1.1597,                0.77107,                 1.3777,               0.007756,               0.007756,               0.007756
                     19,                0.95589,                0.65171,                 1.1203,                0.79664,                0.57383,                 0.6375,                 0.4389,                 1.1573,                0.78638,                 1.3803,               0.007624,               0.007624,               0.007624
                     20,                0.94526,                0.64015,                 1.1196,                0.79905,                0.57789,                0.63451,                0.44373,                 1.1655,                0.78029,                 1.3848,               0.007492,               0.007492,               0.007492
                     21,                0.93361,                0.63146,                 1.1134,                0.72429,                0.61199,                0.63255,                0.44595,                 1.1532,                0.77453,                 1.3859,                0.00736,                0.00736,                0.00736
                     22,                0.91375,                0.60855,                 1.0955,                0.84635,                0.56318,                0.63821,                0.44649,                 1.1614,                0.75963,                  1.387,               0.007228,               0.007228,               0.007228
                     23,                0.90484,                0.59895,                 1.0887,                0.85359,                0.58499,                0.65147,                 0.4531,                 1.1495,                0.78331,                 1.3792,               0.007096,               0.007096,               0.007096
                     24,                0.89178,                 0.5982,                 1.0878,                0.84192,                0.54008,                0.64725,                0.44966,                 1.1416,                0.75864,                 1.3729,               0.006964,               0.006964,               0.006964
                     25,                0.88075,                0.58567,                 1.0813,                0.84207,                0.57056,                0.68653,                 0.4642,                 1.1393,                0.75905,                 1.3712,               0.006832,               0.006832,               0.006832
                     26,                0.86717,                0.57731,                 1.0704,                0.83154,                0.57163,                0.69037,                 0.4536,                 1.1375,                0.75473,                 1.3723,                 0.0067,                 0.0067,                 0.0067
                     27,                0.85591,                0.56634,                 1.0625,                0.78988,                0.56743,                 0.6544,                0.46639,                 1.1394,                0.77045,                 1.3725,               0.006568,               0.006568,               0.006568
                     28,                0.83959,                0.55585,                 1.0539,                 0.7797,                0.60893,                 0.6968,                0.45708,                 1.1277,                0.76421,                 1.3693,               0.006436,               0.006436,               0.006436
                     29,                0.83001,                0.55171,                 1.0541,                0.69068,                0.74794,                0.69465,                0.46741,                 1.1339,                0.75855,                  1.374,               0.006304,               0.006304,               0.006304
                     30,                0.83139,                0.55065,                 1.0519,                0.67957,                 0.7775,                0.72422,                0.48474,                 1.1285,                0.74315,                 1.3739,               0.006172,               0.006172,               0.006172
                     31,                0.81431,                0.53112,                 1.0404,                0.61843,                0.78909,                0.72835,                0.50055,                 1.1269,                0.74997,                 1.3843,                0.00604,                0.00604,                0.00604
                     32,                0.80004,                0.52558,                 1.0385,                0.66561,                0.77327,                0.77796,                0.46875,                 1.1303,                 0.7636,                 1.3818,               0.005908,               0.005908,               0.005908
                     33,                0.79195,                0.51873,                 1.0346,                0.55708,                 0.7363,                 0.6842,                0.45459,                 1.1276,                0.76615,                 1.3984,               0.005776,               0.005776,               0.005776
                     34,                  0.786,                0.51625,                 1.0327,                0.60326,                0.77935,                0.68315,                0.46001,                 1.1251,                 0.7875,                  1.394,               0.005644,               0.005644,               0.005644
                     35,                0.77143,                0.51098,                 1.0263,                0.77559,                0.56835,                0.63108,                0.43533,                 1.1413,                0.78057,                 1.4064,               0.005512,               0.005512,               0.005512
                     36,                0.76176,                0.50237,                 1.0216,                0.82125,                0.57968,                0.67409,                0.47294,                 1.1246,                0.74747,                 1.3905,                0.00538,                0.00538,                0.00538
                     37,                0.75799,                 0.4977,                 1.0177,                0.81781,                 0.5917,                0.64378,                0.45151,                 1.1272,                 0.7478,                 1.4009,               0.005248,               0.005248,               0.005248
                     38,                0.74497,                0.48859,                  1.011,                0.55563,                 0.7184,                0.66594,                0.46508,                 1.1262,                0.75495,                 1.3891,               0.005116,               0.005116,               0.005116
                     39,                0.73894,                0.48528,                  1.009,                0.76814,                0.76275,                0.77783,                0.48887,                 1.1218,                0.76639,                 1.3862,               0.004984,               0.004984,               0.004984
                     40,                0.72881,                0.47725,                 1.0048,                0.78218,                0.59911,                0.67603,                0.45782,                 1.1179,                0.75987,                 1.3881,               0.004852,               0.004852,               0.004852
                     41,                0.71773,                 0.4677,                 0.9959,                0.75169,                  0.631,                0.68236,                0.47236,                 1.1158,                0.75467,                 1.3807,                0.00472,                0.00472,                0.00472
